UNIQUEID,ORDERDATE,QTR_ID,MONTH_ID,YEAR_ID,MONTH
4480,1/6/03,1,1,2003,January
1130,1/6/03,1,1,2003,January
3100,1/6/03,1,1,2003,January
5209,1/6/03,1,1,2003,January
1967,1/9/03,1,1,2003,January
4199,1/9/03,1,1,2003,January
4493,1/9/03,1,1,2003,January
3720,1/9/03,1,1,2003,January
2365,1/10/03,1,1,2003,January
2480,1/10/03,1,1,2003,January
4179,1/29/03,1,1,2003,January
4427,1/29/03,1,1,2003,January
5193,1/29/03,1,1,2003,January
2847,1/29/03,1,1,2003,January
2418,1/29/03,1,1,2003,January
1700,1/29/03,1,1,2003,January
4785,1/29/03,1,1,2003,January
1004,1/29/03,1,1,2003,January
3909,1/29/03,1,1,2003,January
3895,1/29/03,1,1,2003,January
4279,1/29/03,1,1,2003,January
3688,1/29/03,1,1,2003,January
4915,1/29/03,1,1,2003,January
5806,1/29/03,1,1,2003,January
2484,1/29/03,1,1,2003,January
4364,1/29/03,1,1,2003,January
5869,1/31/03,1,1,2003,January
3666,1/31/03,1,1,2003,January
3422,1/31/03,1,1,2003,January
5716,1/31/03,1,1,2003,January
4841,1/31/03,1,1,2003,January
4190,1/31/03,1,1,2003,January
4900,1/31/03,1,1,2003,January
4114,1/31/03,1,1,2003,January
1551,1/31/03,1,1,2003,January
5285,1/31/03,1,1,2003,January
3211,1/31/03,1,1,2003,January
4823,1/31/03,1,1,2003,January
2843,1/31/03,1,1,2003,January
4560,2/11/03,1,2,2003,February
5064,2/11/03,1,2,2003,February
4645,2/11/03,1,2,2003,February
4853,2/11/03,1,2,2003,February
2315,2/11/03,1,2,2003,February
3214,2/11/03,1,2,2003,February
5518,2/11/03,1,2,2003,February
2791,2/11/03,1,2,2003,February
1995,2/11/03,1,2,2003,February
4169,2/11/03,1,2,2003,February
2889,2/11/03,1,2,2003,February
3539,2/11/03,1,2,2003,February
4188,2/11/03,1,2,2003,February
4919,2/11/03,1,2,2003,February
5442,2/11/03,1,2,2003,February
2710,2/17/03,1,2,2003,February
1719,2/17/03,1,2,2003,February
5630,2/17/03,1,2,2003,February
5580,2/17/03,1,2,2003,February
5711,2/17/03,1,2,2003,February
1541,2/17/03,1,2,2003,February
1201,2/17/03,1,2,2003,February
